,Jurusan Sekolah,Jenis Sekolah,Jurusan Diterima,PTN Diterima,Rata-rata Matematika,Rata-rata Inggris,Rata-rata Indonesia,Rata-rata Fisika,Rata-rata Kimia,Rata-rata Biologi,Rata-rata Ekonomi,Rata-rata Geografi,Rata-rata Sosiologi,Rata-rata Sejarah
159,IPS,SMA,Hi,UB,78.0,90.0,88.0,81.95661538461539,82.39778205128205,82.82753623188407,90.0,89.0,89.0,89.0
160,IPA,SMA,Teknik Pengairan,UB,83.0,90.0,88.0,85.0,83.0,89.0,84.21071428571429,84.80860805860806,84.85,85.0
161,IPA,SMA,Agribisnis,UB,82.0,83.0,83.0,81.0,80.0,81.0,84.21071428571429,83.0,84.10999999999999,83.0
162,Bahasa,SMA,Sastra Jepang,UB,84.0,84.0,87.0,81.95661538461539,82.39778205128205,82.82753623188407,81.0,84.80860805860806,84.85,88.0
163,IPS,SMA,Ilmu Perpustakaan,UB,86.0,81.0,84.0,84.0,82.63866923076922,82.82753623188407,84.0,90.0,81.0,88.0
164,IPA,SMA,Sistem Informasi,UB,84.0,83.0,84.0,83.0,83.0,84.0,84.21071428571429,84.80860805860806,84.85,85.07166666666666
165,IPS,SMA,Ilmu Komunikasi,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
166,IPA,SMA,Teknik Informatika,UB,86.0,82.0,95.27033333333334,81.0,86.0,92.0,84.21071428571429,84.80860805860806,84.85,85.07166666666666
167,IPA,SMA,Ilmu Dan Teknologi Pangan,UB,85.0,81.0,82.0,84.0,84.0,85.0,84.21071428571429,84.80860805860806,84.85,85.07166666666666
168,IPS,SMA,Ilmu Hukum,UB,84.0,78.0,83.0,81.95661538461539,82.39778205128205,82.82753623188407,86.0,82.0,84.0,83.0
169,IPS,SMA,Sosiologi,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
170,IPA,SMA,Agroekoteknologi,UB,84.0,85.0,86.0,83.0,84.0,86.0,85.72642857142857,84.80860805860806,90.0,83.0
171,IPA,SMA,Sistem Informasi,UB,84.0,92.0,94.0,86.0,85.0,82.82753623188407,84.21071428571429,84.80860805860806,84.85,96.0
172,IPA,SMA,Pendidikan Dokter ,UB,89.0,88.0,85.0,91.0,91.0,88.0,84.21071428571429,84.80860805860806,84.85,85.07166666666666
173,IPA,SMA,Teknik Kimia,UGM,97.0,91.0,96.0,98.0,98.0,89.0,90.0,89.0,91.88888888888889,81.0
174,IPA,SMA,Ilmu Komputer,UGM,85.0,98.0,83.0,87.0,89.0,76.0,86.87738095238095,88.6590909090909,91.88888888888889,87.8125
175,IPA,SMA,Sastra Jepang,UGM,84.0,89.0,94.0,89.0,88.0,94.0,91.32642857142855,88.6590909090909,91.88888888888889,90.0
